player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
GeT_RiGhT	DNO	923	240	5	326	203	108	97	664	11	3619	279	60	540	33	6	38	26	32	7	15	2	130	118	2	6360	
RacgiMan	DNO	1040	240	13	357	244	167	143	923	23	2736	281	71	558	46	5	60	38	36	3	23	3	110	97	0	6394	
Bamboozler	DNO	949	280	-3	260	459	403	359	2221	40	975	186	87	648	150	17	106	63	87	9	41	4	56	48	5	7412	
aardvark	CCB	986	260	8	287	401	324	295	1975	27	1501	229	71	594	115	19	84	61	59	7	37	1	79	75	3	6088	
ref	CCB	1216	280	11	395	347	246	218	1372	24	3482	307	110	648	91	11	74	41	54	11	20	2	150	128	3	6530	
Destar	CCB	953	280	11	195	470	419	370	2246	45	964	142	68	648	144	11	100	64	77	12	35	4	41	36	5	6530	
d0pe	DNO	850	280	-3	205	519	443	401	2837	37	540	151	78	648	133	24	112	68	84	11	42	4	45	43	3	7412	
waterwheel	CCB	1066	280	11	359	238	151	137	953	11	4045	299	80	648	42	4	40	24	45	3	19	2	143	129	4	6530	
Luka Doncic	TEF	953	280	1	215	491	423	380	2441	41	913	159	62	648	130	14	99	59	73	11	47	3	31	27	4	7080	
BALLDON'TLIE	AC	940	280	-41	287	508	452	417	2584	32	733	191	103	648	163	15	101	62	51	4	45	4	51	44	2	6963	
Tantrew	TEF	842	230	13	198	382	342	308	2283	29	811	149	67	522	112	26	99	56	61	6	42	4	52	48	5	5740	
BALLANKA	AC	738	280	-41	167	479	400	368	2178	28	537	106	65	648	126	12	109	69	71	9	56	2	25	24	0	6963	
THICK SHADY	AC	398	120	-21	138	88	56	53	429	3	1809	131	22	252	10	3	13	10	18	1	10	1	54	44	0	3141	
Epiphany	TEF	1163	280	1	426	229	139	132	813	7	3947	343	118	648	44	5	39	20	35	1	13	0	138	131	2	7080	
Pandora	TEF	1133	280	1	408	283	175	162	1041	13	4047	335	87	648	60	6	53	36	41	1	15	3	152	153	2	7080	
ARMBRANCH	AC	1235	280	-41	480	242	135	122	675	12	4337	389	114	648	57	1	38	26	26	4	18	3	190	180	3	6963	
