player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Syniikal		1052	240	14	370	53	18	16	160	1	6034	322	55	538	4	2	4	4	7	1	1	0	130	121	2	4699	
Gem		1270	320	-43	476	359	253	235	1444	16	3492	393	108	717	87	12	67	45	51	3	19	1	125	130	3	9700	
Xile		159	75	-18	48	124	103	96	527	6	228	37	17	162	39	3	31	24	25	2	13	0	8	5	0	2310	
Jump Ball		1231	344	-77	429	401	298	276	1999	19	3306	342	91	765	75	15	103	69	62	8	30	1	101	88	10	9767	
Gman8181		480	140	-6	94	260	237	219	1447	16	365	63	38	288	73	13	65	49	55	6	20	2	16	14	2	3070	
Curry	RKT	974	280	-19	279	328	251	234	1492	13	3739	244	63	612	83	10	70	40	60	5	17	1	93	91	4	6450	
bubblez		684	260	-36	200	408	371	343	2338	25	719	141	61	558	117	21	111	75	112	6	36	3	42	37	2	7998	
eee		1136	360	-47	272	596	521	481	3024	39	1442	212	93	792	144	18	113	84	97	8	49	4	51	47	6	8831	
Bal McCartny		1509	358	-38	639	289	165	155	841	10	5788	558	144	792	53	0	47	30	43	1	18	0	199	188	2	9571	
A-A-ron		1037	320	35	290	546	465	425	2644	37	671	157	108	718	101	11	133	106	95	11	33	3	34	30	1	7094	
veezy		945	360	-38	227	679	599	555	2888	39	806	176	67	792	179	17	125	76	95	8	67	6	33	27	5	9571	
protag		1424	360	41	228	743	730	630	4750	93	570	158	86	790	169	30	150	97	149	22	48	10	34	30	1	7925	
Sherrattinho		1691	360	41	634	286	150	140	974	8	7152	529	110	790	33	5	43	27	37	3	11	0	216	211	2	7925	
quibble		1101	305	-42	439	269	147	138	833	6	4631	366	69	684	45	4	48	34	36	3	15	0	132	128	8	8373	
Bumballbee	VIL	913	311	-27	204	536	451	408	2370	38	464	122	87	702	123	9	123	72	75	9	34	1	23	30	1	8317	
EndTheFed		1456	320	20	546	234	136	120	864	13	5793	465	108	702	38	7	48	31	39	4	12	0	175	169	4	7527	
knox		5	2	0	3	1	0	0	0	0	2	3	0	27	0	0	0	0	0	0	0	0	0	0	0	232	
G1nseng	DNO	58	15	-6	28	17	10	9	49	1	155	28	3	36	4	0	2	1	2	0	3	1	8	6	1	669	
BigBird		1693	360	68	569	313	201	172	1267	28	6109	483	122	792	46	7	81	60	71	14	23	1	227	212	3	9201	
GOOBR		1366	360	68	269	613	602	519	4096	75	748	197	79	792	149	29	206	136	134	22	56	5	43	42	5	9201	
ccga's mom		1227	360	68	312	714	647	582	3750	58	749	248	97	792	179	18	163	102	160	22	64	5	62	50	4	9201	
felon fred		1028	290	-19	287	518	465	420	3062	35	1187	217	80	621	115	23	132	84	108	11	38	2	66	60	2	8137	
Genesis		1410	360	-25	490	341	226	209	1263	15	4866	397	109	792	68	6	67	49	61	6	25	1	141	138	6	10120	
Iblis		1138	280	-12	449	223	135	128	880	6	4388	411	63	630	38	8	39	27	27	1	15	3	156	136	4	7543	
Pnaoxt		963	320	-18	230	537	490	435	3134	47	669	178	75	711	135	25	161	109	141	20	49	2	37	31	5	8961	
yank		1623	360	68	592	300	205	185	1303	17	5803	483	123	792	58	11	66	43	71	7	21	2	195	184	3	9201	
Frozen	LBT	1618	360	105	562	285	200	172	1278	25	5772	465	89	792	54	11	76	51	71	13	21	1	188	183	3	8690	
Mr.Gone		1335	360	-35	552	380	214	204	1147	9	4455	486	88	792	70	8	78	54	54	2	27	1	171	169	1	10901	
Bamboozler	DNO	1343	340	-34	482	359	263	244	1795	13	3856	405	107	738	76	20	89	65	80	6	28	1	122	108	3	10305	
Wanye		1318	360	105	314	592	555	492	3537	59	1035	237	94	792	149	16	155	106	190	23	69	1	66	58	5	8690	
badger		1785	359	105	667	315	249	218	1888	29	5753	528	130	792	71	23	89	63	68	7	25	4	255	237	2	8690	
Weed		1188	360	-35	304	534	482	435	3146	37	1010	241	110	792	145	26	185	120	150	11	28	2	47	40	4	10901	
WarriOrs		1699	360	105	356	635	628	539	4786	87	1024	246	157	792	173	45	209	144	155	26	61	4	77	72	3	8690	
