player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Bamboozler	DNO	77	20	4	16	34	32	29	267	3	43	14	7	54	5	3	14	11	15	2	1	0	4	3	0	741	
ccga4		70	20	-5	18	38	36	31	266	5	22	8	3	36	8	2	15	8	11	3	5	0	1	0	2	569	
andhecapd		110	26	2	39	33	27	25	206	1	300	31	8	63	7	2	12	9	15	1	3	0	10	10	0	1079	
cucurrucucu		123	40	-21	61	54	20	19	116	1	368	41	9	72	6	1	6	1	6	0	2	0	7	7	0	1497	
beast mode	VIL	77	20	9	15	40	38	32	281	6	20	9	4	45	4	1	16	14	21	3	1	0	3	1	1	632	
Fuzzy		310	70	18	91	58	39	34	265	5	1033	74	17	162	8	0	21	19	21	3	5	0	29	26	1	1955	
mP		74	30	-7	19	51	43	42	356	1	62	14	7	72	11	4	19	11	11	1	3	0	1	1	0	1095	
Heisy		0	1	-6	1	3	2	2	13	0	8	1	0	18	1	0	1	1	0	0	0	0	0	0	0	354	
Crossover		86	30	-7	24	63	53	50	320	3	82	18	10	63	14	3	20	16	14	0	2	0	7	6	0	987	
Devious		32	10	1	13	17	7	7	38	0	88	13	3	27	2	0	6	3	2	0	2	0	2	3	0	283	
2P1S		15	10	-3	2	19	15	14	98	1	14	2	1	27	5	0	3	3	5	1	1	0	0	0	0	284	
ajax		41	10	-3	17	13	8	8	23	0	90	15	4	27	5	0	3	2	1	0	2	0	6	6	0	284	
