player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Daffodil		1358	280	61	538	205	119	105	765	12	5061	486	53	612	25	5	41	34	28	2	19	1	201	192	2	6339	
intercest		1034	280	-54	405	434	341	309	1853	29	1366	320	87	612	106	7	100	56	79	6	47	4	102	92	5	7736	
Eggo	RKT	1170	280	61	325	293	175	162	1048	13	4455	226	124	612	61	8	61	42	56	7	10	0	112	104	1	6339	
Calamitous		508	130	-16	181	200	153	136	832	12	1189	144	34	261	58	6	38	27	35	5	15	1	75	62	2	3519	
sun chips		1048	280	61	217	486	440	396	2967	42	703	137	82	612	112	25	118	82	124	12	41	4	48	45	3	6339	
protag		707	280	-54	186	602	551	505	3002	41	389	141	52	612	191	17	161	93	126	10	52	3	41	36	0	7736	
bright		1177	280	61	260	429	405	347	2937	51	754	183	80	612	98	23	132	86	105	21	39	2	43	42	3	6339	
Vials		1136	280	-54	435	262	153	139	881	12	3946	372	81	612	44	2	50	32	41	4	14	0	165	159	6	7736	
BALLDON'TLIE	AC	984	280	-7	266	524	461	417	2463	42	749	178	107	612	172	12	112	73	100	10	62	6	57	50	1	7277	
SIDE		905	240	1	352	267	150	139	779	9	3643	299	56	522	53	5	50	35	38	5	19	1	132	120	1	6238	
MILKY		830	279	-7	199	513	479	431	2973	44	389	121	72	612	136	23	140	91	97	12	49	7	27	29	4	7277	
Wanye		1255	280	0	485	242	134	114	776	17	4528	438	76	612	30	4	29	17	26	5	17	1	177	153	1	7316	
Frozen	LBT	713	200	-3	285	185	99	95	455	4	2867	235	55	414	37	2	25	14	19	1	8	0	84	72	2	5362	
BOOGIE	VIL	1169	280	-7	446	257	170	152	930	16	4522	376	66	612	59	6	49	29	45	6	24	1	171	156	2	7277	
GOOBR		821	280	0	234	510	468	433	2743	30	476	167	51	612	137	22	136	79	74	6	38	5	31	31	5	7316	
pulpo	SRP	957	280	0	176	548	501	448	2931	46	704	127	82	612	133	22	96	66	119	10	45	6	38	38	1	7316	
Arbybear		552	140	-11	225	183	111	105	492	6	2001	190	32	279	50	3	28	20	29	3	12	2	92	98	2	3546	
Cheetosrule	FBD	755	170	18	264	133	86	73	464	12	2359	205	54	396	31	3	16	9	18	7	8	0	76	68	1	4144	
Eashy		1245	280	40	431	192	103	93	698	8	5366	387	70	612	30	6	25	18	26	5	14	0	165	144	4	6436	
Gasol		826	280	-27	189	581	507	469	2607	31	733	139	84	603	190	16	130	73	87	6	52	6	49	53	2	6657	
Frothy		973	240	-18	368	185	99	91	583	8	4224	310	53	513	34	4	36	23	32	6	16	0	133	140	2	5622	
Curry	RKT	703	240	30	177	383	332	303	1896	28	808	139	46	522	108	8	84	57	86	12	34	1	30	25	2	5746	
Spjork		931	240	20	281	253	173	153	976	20	3685	247	54	522	60	6	48	36	37	3	20	2	95	83	2	5807	
DT		1013	280	-27	272	502	454	414	2523	37	918	193	95	603	154	21	121	71	90	9	62	4	60	45	0	6657	
waterwheel	CCB	374	110	-23	126	74	52	46	228	6	1845	103	25	261	22	1	15	8	13	2	6	0	42	38	3	2770	
badger		1121	260	32	254	455	426	376	2922	42	734	172	75	558	114	31	115	79	81	10	29	0	40	34	3	5990	
MEX		1225	280	-16	467	193	107	95	582	10	4786	417	83	612	31	3	21	14	7	0	12	2	182	168	0	6438	
Syniikal		506	120	14	193	39	11	9	46	2	2591	178	26	288	3	0	3	3	2	1	3	0	86	80	0	2689	
toasty.		996	240	-1	247	328	309	266	2140	41	929	176	74	513	80	17	65	44	57	8	21	2	47	49	3	5698	
Destar	CCB	885	280	-16	228	465	404	367	1953	35	731	154	76	612	134	8	72	43	55	3	26	1	33	33	1	6438	
aardvark	CCB	957	240	-8	368	210	121	114	820	5	4295	308	61	522	40	8	24	17	22	0	11	1	116	111	2	5279	
iAaronK		455	120	-5	192	108	50	49	246	1	2030	148	40	234	17	0	8	3	9	1	5	0	56	49	2	2831	
taco.		825	280	3	211	417	382	348	2415	31	689	147	58	603	118	22	87	53	88	11	31	1	46	40	3	6801	
beast mode	VIL	120	40	-5	27	87	82	74	303	7	95	6	11	90	30	0	13	9	12	0	5	1	3	3	0	666	
#SelfySyntax	SRP	119	40	-2	23	68	60	54	300	6	144	15	8	72	26	3	12	8	7	0	15	2	4	4	0	980	
obama.		277	80	-11	121	102	59	56	201	3	1173	113	9	162	27	0	16	10	7	0	7	1	50	47	1	2063	
Ty	LBT	727	200	-9	171	311	281	252	1664	27	442	101	69	450	75	9	51	28	29	2	17	2	19	14	1	4792	
Mufro		292	80	3	45	135	119	107	666	11	207	32	21	162	43	6	32	19	20	2	10	2	8	5	2	1761	
JOBA		551	160	-40	180	226	149	139	815	9	1488	143	56	378	44	4	52	37	40	4	15	0	67	59	0	4489	
phreak		664	160	28	200	131	77	71	449	5	3158	172	50	369	18	1	24	14	20	4	4	0	75	72	1	3252	
Misaki		315	80	-13	129	58	24	23	137	1	1264	111	21	171	9	1	5	2	5	1	1	0	52	51	0	2073	
veezy		146	40	4	34	64	57	48	332	9	90	29	12	90	17	2	13	5	18	5	8	2	7	8	1	1103	
herb.		140	40	11	60	42	20	19	70	1	566	54	5	117	8	0	5	3	5	1	3	0	34	32	1	1403	
Fuzzy		115	30	-7	39	26	20	20	137	0	515	36	13	72	5	0	12	5	3	0	3	0	17	16	0	707	
