player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
A-A-ron		937	280	12	244	502	397	361	2221	34	928	165	87	648	109	14	85	55	58	5	24	1	41	39	4	6888	
Cheetosrule	FBD	711	200	5	173	339	273	244	1876	26	668	125	53	468	77	18	69	43	45	4	13	2	31	29	1	5057	
GOOBR		1018	280	-10	211	476	433	387	2848	41	656	151	76	648	102	22	84	50	52	8	30	2	29	26	4	7438	
aardvark	CCB	1059	240	12	353	229	136	120	860	15	3797	293	80	558	33	5	20	13	23	1	6	1	90	81	3	5669	
BigBird		1108	280	-10	450	248	131	123	766	7	4549	373	84	648	35	5	23	17	23	2	8	0	110	95	2	7438	
Raspberry	FBD	842	192	-9	282	176	111	98	777	13	2986	216	79	468	26	7	23	14	24	4	7	0	81	73	2	5338	
Jake from SF		527	160	-9	179	253	197	182	1136	14	905	128	39	360	35	7	31	21	30	2	15	1	34	28	1	4084	
waterwheel	CCB	1143	280	12	381	251	158	140	1174	17	4540	317	68	648	34	10	30	21	35	4	13	1	143	127	1	6888	
Wanye		1327	280	67	442	234	164	145	1217	16	4762	370	102	648	33	9	56	41	46	4	17	0	156	158	0	6568	
Bamboozler	DNO	1072	240	53	385	197	101	87	688	14	4433	337	53	558	33	2	24	20	34	4	8	1	130	125	1	5541	
Apopalypse		966	280	67	217	395	345	303	2297	39	1026	148	79	648	80	16	108	67	83	13	28	1	38	32	0	6568	
ccga4		1090	275	46	377	233	146	136	948	10	4555	324	78	648	39	7	46	27	45	4	15	0	143	136	4	6815	
bright		1113	280	46	275	436	407	356	2812	44	909	204	103	648	118	26	114	73	77	7	45	5	50	42	1	6815	
Eggo	RKT	1245	280	46	400	248	167	145	900	19	4676	326	101	648	59	5	55	38	49	4	17	2	155	148	3	6815	
pulpo	SRP	690	183	34	127	349	323	281	1986	41	523	93	46	441	111	13	88	70	88	18	22	0	30	31	2	4677	
WarriOrs		1118	240	53	217	415	412	338	3323	68	492	152	96	558	85	40	97	68	90	22	37	7	29	33	1	5541	
Arbybear		1103	280	-29	472	290	153	145	697	8	4719	408	69	648	66	5	47	29	31	0	11	1	210	200	1	7027	
Suplex Slam		302	80	3	77	116	89	79	532	9	730	63	20	180	22	2	22	11	22	1	8	3	19	16	1	1803	
Curry	RKT	1138	280	0	358	289	217	195	1583	21	4405	300	69	648	51	11	49	30	51	3	20	0	101	87	2	6808	
Will1119		764	280	-29	202	496	405	379	2633	22	559	148	60	648	128	26	119	71	83	4	55	2	33	31	4	7027	
Spjork		778	240	0	191	466	409	371	2099	36	624	141	62	558	125	8	92	67	92	9	32	3	33	27	2	5543	
obama.		614	160	-27	229	177	117	107	696	8	2061	202	43	360	45	6	28	13	39	3	5	0	94	93	3	4322	
Mufro		962	280	-29	190	496	436	387	2513	45	827	134	78	648	146	21	128	80	92	16	38	5	37	31	1	7027	
np		469	120	3	165	172	147	133	813	11	1118	121	49	270	26	5	30	21	13	2	3	1	46	39	0	3068	
#SelfySyntax	SRP	655	270	-48	155	450	384	346	1872	34	665	112	60	621	112	5	82	53	80	10	46	1	24	24	3	7844	
sidewalk	SRP	742	240	0	195	510	431	399	2044	30	650	128	73	558	128	5	83	58	71	9	36	2	30	30	2	5560	
Juke of Yore	DNO	643	180	-29	267	192	112	102	473	9	1995	223	39	405	39	1	28	17	15	0	25	2	83	71	2	5425	
Abe Lincoln		1055	240	-39	445	216	140	124	848	13	2578	353	109	540	48	5	32	18	26	3	20	3	117	106	2	7024	
d0pe	DNO	870	280	-49	213	565	509	463	3079	43	498	163	86	648	147	25	110	53	73	10	38	0	48	43	0	8120	
Crossover		833	240	-20	206	497	436	398	2440	32	543	138	80	558	143	17	95	62	76	10	42	1	40	31	3	5795	
777z	SRP	916	240	-15	305	198	117	107	614	9	4150	251	65	558	38	4	33	21	23	0	10	0	91	82	1	5427	
CB13	VIL	1217	280	-11	454	247	149	128	853	19	4610	406	57	648	40	3	34	21	23	6	19	4	156	158	3	6520	
Homie		973	270	-11	360	178	84	80	357	4	4771	314	54	630	26	2	22	14	22	2	14	2	117	107	3	6804	
veezy		911	280	-20	217	491	444	397	2206	41	696	164	77	648	152	12	133	80	93	10	49	1	49	42	4	7216	
BALLDON'TLIE	AC	1335	280	20	522	204	136	122	738	13	4162	434	136	648	41	2	29	16	25	2	14	1	213	187	1	6959	
Gasol		942	280	-20	226	564	498	450	2886	44	572	144	88	648	158	22	111	59	100	16	52	4	37	38	2	7216	
Armbranch	AC	1151	280	20	441	222	119	108	744	11	4635	389	70	648	36	5	27	20	42	4	8	1	203	186	0	6959	
Ty	LBT	1102	280	20	230	378	365	303	2790	59	673	159	77	648	103	30	92	59	80	14	27	4	46	39	0	6959	
Frozen	LBT	910	280	20	205	494	453	404	2376	40	603	138	83	648	160	12	98	69	75	11	23	0	35	35	4	6959	
boogie	VIL	1152	280	-20	439	296	189	172	1134	15	4300	345	97	648	65	11	54	31	24	2	12	1	153	138	2	7216	
Syniikal		1226	280	-34	462	83	19	17	129	2	5999	404	77	648	5	0	4	4	3	0	2	0	117	107	0	6248	
mis		1024	240	17	386	170	123	110	696	11	4489	353	56	558	22	3	20	14	15	2	9	0	124	109	2	5633	
HERB		727	180	-24	254	156	82	76	440	6	3652	207	58	432	18	1	11	7	11	1	3	0	73	64	1	4190	
DEAD NAN		771	240	-18	106	462	427	375	2968	49	263	78	55	558	77	11	65	41	40	7	18	2	9	6	0	5408	
Sam-		73	30	-7	20	61	52	48	287	2	80	9	6	63	15	3	10	6	9	1	4	0	3	1	0	605	
idiOt		125	40	3	28	72	66	60	308	6	176	19	13	90	20	1	14	7	12	3	8	0	4	7	0	965	
Destar	CCB	1115	280	8	218	480	457	394	2532	59	958	155	78	648	94	8	74	46	50	10	28	4	40	33	2	6468	
FLY	CCB	793	280	8	221	458	392	366	2086	24	1260	145	84	648	77	6	51	35	53	6	21	1	36	28	0	6468	
Suchit	SRP	342	135	-15	77	285	229	208	1031	17	219	58	27	324	74	2	32	23	38	7	16	0	11	10	0	2893	
phreak		271	80	7	76	122	111	100	602	10	443	69	17	180	15	0	8	3	8	1	6	0	4	7	0	1831	
Some Paul		92	40	-12	24	69	59	56	366	3	141	14	6	90	11	1	8	4	5	0	2	0	0	0	0	976	
ez	FBD	340	120	-1	74	160	141	126	766	13	285	58	31	288	37	5	28	25	34	2	8	0	9	9	0	3354	
quibble		479	120	-2	173	93	54	51	315	2	2388	133	40	288	22	2	14	9	16	0	7	1	51	53	1	2705	
Doris	RKT	1005	240	5	367	181	107	95	625	11	4177	298	89	558	23	1	16	12	17	4	5	0	72	68	1	5503	
beast mode	VIL	121	40	-11	34	73	66	62	381	3	108	21	13	90	20	4	16	9	20	2	9	0	5	6	0	960	
Bomberguy		11	10	-9	5	9	6	6	21	0	46	5	0	18	4	0	2	1	2	0	0	0	0	1	0	412	
Ball OON		339	80	13	91	95	68	57	368	9	727	59	33	180	8	0	13	6	17	3	3	0	20	23	1	1818	
Piper		65	17	-1	14	15	8	7	41	1	314	13	7	54	2	0	4	3	2	0	0	0	5	6	0	460	
Tantrew	TEF	148	40	0	33	60	62	50	360	12	151	26	9	90	0	0	0	0	0	0	0	0	0	0	0	1265	
taco		696	195	-19	201	262	224	200	1595	23	1727	153	54	468	47	10	37	26	36	2	14	2	36	28	1	4450	
Fuzzy		681	200	-3	241	192	108	98	517	9	3496	210	39	468	32	1	28	19	12	1	4	1	78	73	2	5005	
refined		383	100	-20	158	102	45	42	185	2	1359	130	30	243	13	0	11	7	4	0	1	0	35	32	1	2695	
Nice Person		530	160	-3	153	274	251	226	1656	20	637	107	47	378	72	11	64	47	45	3	25	1	30	28	5	3740	
tits		149	40	-10	56	43	27	26	124	1	542	48	18	108	11	1	8	5	3	0	3	0	22	17	1	1096	
Kibo		27	10	-1	3	12	9	8	52	1	35	3	3	27	0	0	4	1	1	0	2	0	1	1	0	276	
WRIG		152	40	0	56	43	23	22	146	1	511	51	10	90	7	3	9	6	9	0	2	0	22	22	0	1219	
Djinni	PRE	157	40	14	29	63	63	54	427	8	140	27	10	90	23	5	19	17	13	1	8	0	10	9	0	1027	
RacgiMan	DNO	174	40	14	43	35	30	25	163	4	598	42	7	90	14	2	4	2	4	1	2	1	17	16	0	1027	
IfYouSeekAmy	AC	0	0	-4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	221	
blackberry		246	80	14	50	107	87	76	487	10	201	32	16	180	26	3	25	20	28	4	13	2	14	9	1	1942	
eee		60	20	-6	21	21	11	11	52	0	337	17	3	36	4	0	3	3	7	0	1	0	10	9	0	460	
King's Crown	FBD	26	8	-2	9	7	6	6	34	0	96	9	1	18	1	0	3	3	2	0	1	0	7	4	0	283	
YUNG ZEFF		264	80	-1	76	110	90	79	421	8	696	59	19	180	22	1	19	10	16	3	6	1	4	6	0	2100	
Epiphany	TEF	0	5	-1	6	3	3	3	19	0	44	5	2	27	0	0	1	1	0	0	1	0	2	2	0	244	
yiss	LBT	117	40	-9	49	41	12	12	26	0	694	45	5	90	5	0	0	0	1	0	2	0	7	7	0	835	
