player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Sherrattinho		1200	280	5	466	248	133	120	757	9	4410	397	88	648	36	5	52	27	25	4	22	1	165	133	4	7154	
okthen		970	273	5	262	368	312	287	2142	24	2566	217	82	648	96	22	82	58	62	5	33	2	82	71	5	7154	
Legman		1094	280	-5	238	498	469	426	3200	39	730	168	99	648	101	33	108	79	104	12	30	1	35	38	1	6538	
Daffodildo		557	153	11	162	199	159	149	890	10	929	125	55	378	65	6	51	36	34	1	11	0	43	41	1	3971	
Syniikal		1194	280	-5	455	73	33	27	297	5	5614	403	56	648	2	3	13	11	13	2	2	0	134	134	5	6538	
Dino		914	270	1	189	465	426	391	2654	32	743	137	74	630	84	9	123	84	88	11	26	1	38	27	1	6209	
Ball God		818	240	-10	169	452	425	381	2247	40	608	121	58	558	135	9	115	69	101	13	43	4	35	33	4	6195	
BALLDON''TLIE		176	40	2	67	34	25	24	226	1	619	52	16	90	5	3	11	7	13	1	1	0	26	24	1	1026	
Arbybear		930	240	-42	388	246	143	136	790	7	3269	361	68	558	47	4	56	35	35	2	18	1	163	135	2	7155	
siDe		1058	279	5	446	256	136	127	766	8	5078	400	48	648	55	4	43	22	39	2	18	2	217	206	0	6592	
noblord		246	130	-26	80	276	228	218	947	10	217	56	24	306	93	4	64	43	46	2	22	0	13	10	1	3352	
toasty.		1096	240	22	185	379	381	321	2734	56	565	119	80	558	97	23	103	62	87	20	45	6	34	30	3	5357	
FLY	CCB	537	170	-34	171	234	178	167	1044	8	1483	139	44	405	58	10	67	40	42	3	24	0	54	46	2	5061	
alchemist		1154	280	5	439	225	141	134	787	4	4886	388	94	648	48	2	61	32	41	2	9	0	184	162	4	6592	
CB13	VIL	818	240	-42	276	314	263	238	1835	19	1088	219	67	558	73	20	89	54	73	3	26	4	63	62	3	7155	
Mufro		643	240	-55	170	404	332	311	1881	20	451	121	67	558	106	12	97	66	78	3	32	2	28	24	2	7233	
swerve		765	240	-6	200	407	369	344	2133	25	519	132	71	540	137	21	98	67	100	8	42	4	26	24	3	6523	
intercest		1273	280	64	322	477	447	386	2659	58	742	234	107	648	147	23	146	87	115	22	55	3	64	52	4	6863	
Dank Sniper		869	237	-16	345	187	104	99	592	5	3901	309	49	558	36	3	31	23	25	0	13	0	128	120	3	6174	
C Bivvey		1177	270	67	477	229	129	118	784	8	4694	427	69	621	48	10	44	30	29	3	12	0	209	200	5	6609	
dodsfall		1034	280	-12	382	251	154	145	854	7	4132	306	87	648	53	6	61	42	33	2	21	2	124	114	2	7476	
Stann		1167	280	64	456	192	134	121	720	10	4620	383	75	648	44	6	45	32	42	4	15	1	175	160	5	6863	
Hulzy		945	280	-12	234	522	478	432	2842	37	593	170	90	648	179	28	133	85	107	12	47	4	47	34	4	7476	
Milky		1117	280	64	195	521	505	445	3590	56	394	137	90	648	138	37	163	96	140	16	53	6	36	34	3	6863	
Genesis		173	39	-14	74	35	20	18	94	2	376	52	15	81	5	0	7	4	5	1	4	1	22	19	1	1309	
protag		932	280	38	188	577	531	476	3539	48	445	139	77	648	159	35	173	107	152	18	40	2	40	29	2	7424	
Fatal		810	232	34	209	346	291	258	2026	30	1023	146	59	558	77	18	90	67	90	15	32	0	53	42	3	6330	
Spjork		872	240	-12	342	324	235	215	1377	16	1802	261	73	558	62	9	65	53	58	4	16	2	68	57	2	7188	
chipper		583	200	-12	149	356	312	284	2118	23	543	108	49	468	83	18	114	83	105	6	20	1	35	30	2	5866	
Altiger		1065	220	30	367	210	162	143	1105	18	2950	299	85	504	52	11	68	53	48	6	17	2	128	126	3	5632	
Bamboozler	DNO	998	280	-7	275	394	333	303	2395	28	2040	232	69	648	75	23	104	75	93	9	25	3	70	67	0	8418	
Frothy		1056	240	29	414	189	92	83	510	8	3964	356	67	558	22	1	30	16	32	2	10	1	161	150	0	6138	
Weed		1008	260	4	353	257	163	149	1235	11	3293	328	58	612	40	7	64	45	46	4	18	1	99	79	4	7727	
BigBird		1122	280	-1	416	267	152	140	1006	11	4648	362	67	648	61	13	51	35	49	5	11	3	158	153	5	7424	
Belle		192	50	-9	56	91	83	73	391	10	96	35	15	117	34	1	19	11	14	1	8	1	10	8	1	1400	
yank		1249	280	-1	471	244	165	146	912	18	4139	367	97	648	60	8	53	35	39	2	22	4	168	156	6	7424	
aardvark	CCB	1047	240	12	401	189	111	101	656	8	4339	358	62	558	25	4	43	32	36	1	12	1	191	158	1	5505	
DT		1021	280	20	235	474	453	406	2641	44	671	149	95	648	149	15	155	99	102	9	47	5	53	50	1	6356	
Mr. Hat		995	250	15	230	477	444	399	2969	40	533	155	83	576	125	27	116	74	104	10	42	3	37	33	3	5698	
Apopalypse		740	275	-1	225	467	390	360	2040	25	508	155	74	648	133	8	123	83	118	11	43	3	39	33	1	7424	
iAaronK		1177	280	20	486	244	112	105	633	7	5001	421	87	648	37	3	44	32	34	2	10	1	207	196	0	6356	
Curry	RKT	2	5	-4	1	13	12	12	32	0	11	1	0	27	5	0	2	0	0	0	3	0	0	0	0	306	
Dalek		556	153	-21	238	164	104	99	479	5	2118	202	35	378	32	3	35	25	23	2	11	0	72	65	4	4654	
DaffodiI		1144	280	2	427	312	215	196	1016	14	4295	376	81	648	71	5	52	42	27	3	17	0	107	99	0	6286	
Eashy		1189	280	2	433	186	105	97	622	10	5353	365	98	648	24	1	22	15	29	7	9	0	122	113	2	6286	
GOOBR		669	280	-52	208	551	485	463	2641	19	579	174	32	648	148	12	146	85	95	4	58	3	38	35	3	8788	
Destar	CCB	846	280	2	169	510	472	433	2460	37	726	130	49	648	135	9	95	57	83	6	37	3	32	28	3	6286	
bright		1002	280	-52	284	460	410	377	2509	27	976	209	100	648	121	23	114	71	83	9	44	2	48	44	9	8788	
young savage		703	200	2	169	409	352	324	1886	26	813	116	61	468	99	12	75	48	61	10	30	2	28	33	0	4184	
ccga4		1046	280	-52	394	296	189	176	1229	11	2869	330	123	648	53	12	73	46	55	8	25	0	115	110	5	8788	
GRIEFTREES		138	40	-2	45	41	29	28	247	1	657	40	9	90	9	5	11	8	8	1	4	0	17	15	1	1064	
BALLDON'TLIE	AC	1186	280	-5	399	252	171	163	962	7	4900	327	106	648	43	6	48	34	48	2	10	0	125	114	1	6538	
Gman8181		124	40	-6	30	57	54	48	350	5	68	14	14	108	14	3	22	14	15	3	8	1	4	3	0	953	
DEATH PICKLE		165	43	0	57	37	19	18	106	1	648	46	11	117	7	1	10	8	5	0	3	0	19	12	0	1516	
WarriOrs		867	230	8	216	459	418	378	2919	36	392	161	82	531	122	30	123	90	98	15	41	2	51	40	3	6024	
Gem		279	60	3	91	62	39	36	230	3	834	80	25	144	12	1	15	12	13	0	4	1	28	27	1	1600	
q42		405	110	-24	176	125	73	69	373	4	1382	155	29	243	28	3	21	15	25	1	2	0	66	60	3	3232	
Meep		17	6	-7	9	7	4	3	31	1	10	8	0	27	0	0	2	2	2	1	0	0	3	2	0	409	
clownmeaL		674	200	14	144	406	358	328	1865	28	392	105	59	450	126	10	93	64	90	8	27	6	30	27	3	4745	
Ty	LBT	314	92	-8	87	148	129	117	746	12	213	51	33	216	38	4	30	17	26	4	9	1	7	7	2	2652	
HARD GAY		296	80	7	106	93	60	56	302	4	1233	99	15	180	20	0	14	9	24	1	5	0	47	44	0	2119	
Raspberry	FBD	33	20	-12	12	28	15	15	57	0	181	8	4	45	7	0	3	2	4	0	2	0	1	2	0	709	
A-A-ron		52	20	-11	18	33	24	22	68	2	95	17	5	45	14	0	4	3	5	0	5	0	6	5	0	692	
#Frozen		342	80	0	82	114	97	88	614	9	545	69	28	180	6	2	9	5	6	1	4	0	27	29	1	2102	
Waynee		361	101	15	87	163	143	127	1075	14	319	67	33	252	15	8	26	17	38	6	4	1	8	7	1	3547	
Gasol		21	10	-3	9	18	11	11	43	0	9	9	4	27	4	0	1	1	2	0	1	0	4	4	0	254	
TheBob18	VIL	-1	1	1	0	2	0	0	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	241	
veezy		187	60	-14	49	121	104	96	533	8	122	38	11	135	34	1	26	18	19	0	11	2	10	9	0	1834	
Jake from SF		26	10	-2	9	17	14	13	73	1	13	7	1	27	5	0	3	3	5	1	4	0	0	1	1	415	
Some Paul		34	8	-1	10	13	12	11	61	1	22	10	2	27	5	0	5	4	3	0	3	1	4	3	1	302	
the crc		253	60	0	95	70	42	39	276	3	698	78	21	126	14	3	14	10	13	1	2	0	35	34	0	1821	
HERBERT.		25	10	-6	7	19	16	15	97	1	23	5	3	18	7	0	8	3	5	1	1	0	1	1	0	329	
Juke of Yore	DNO	24	12	-1	11	12	7	7	27	0	116	8	6	54	0	0	0	0	0	0	0	0	2	2	0	629	
fenix funk 5		77	28	-16	41	38	20	20	96	0	295	35	4	63	7	0	10	7	6	0	1	0	14	12	0	937	
MEX		172	40	8	86	27	20	17	62	2	614	78	6	90	10	0	2	1	5	0	3	0	39	41	1	851	
beast mode	VIL	131	30	5	30	57	54	50	278	4	74	23	10	72	20	2	11	8	13	0	7	1	6	4	1	658	
Poeticalto		43	20	-8	15	26	21	21	204	0	60	15	2	54	5	4	13	9	8	0	2	0	5	2	1	912	
Ajax		73	20	0	25	17	5	5	69	0	185	20	8	54	1	1	4	4	4	0	0	0	8	6	0	756	
RemoSlice	VIL	177	40	9	55	75	62	55	463	7	122	37	11	90	15	5	24	18	23	1	5	2	7	9	1	1286	
Misaki		89	20	9	39	22	14	10	73	3	370	30	2	36	6	1	5	4	4	0	4	0	16	12	0	530	
