player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
new to game	TOC	932	247	-7	352	246	162	153	904	9	3767	323	51	538	29	4	24	13	28	1	9	0	91	76	4	6245	
Spjork	MMP	630	160	13	195	144	103	86	591	14	2177	153	44	378	27	4	34	18	22	2	8	1	54	54	0	3680	
WarriOrs	RHCP	729	180	4	162	318	293	252	2139	36	520	115	68	414	58	21	59	42	55	6	23	3	32	21	0	4814	
GLTPVet32	RHCP	1144	280	13	405	245	144	130	909	12	4287	350	75	615	43	8	46	31	29	6	11	2	141	133	1	7345	
tng.		443	120	-5	151	209	174	159	956	14	576	106	38	288	49	5	46	23	24	1	9	1	25	22	4	3027	
RacgiMan	RHCP	1099	280	17	365	280	174	156	908	15	3636	326	59	615	65	7	37	30	48	5	21	4	133	115	5	7479	
Tantrew	RHCP	950	280	17	212	439	365	329	2374	35	745	145	86	615	103	18	95	64	82	5	33	3	34	32	6	7479	
Djinni	TOC	709	190	13	157	325	303	274	2143	27	469	116	58	421	45	11	44	30	42	4	17	1	16	14	1	4612	
A-A-ron	TOC	549	170	-1	208	221	151	141	643	8	1647	167	34	349	40	1	22	12	13	1	10	0	24	26	2	4121	
Curry	HGW	1070	268	-12	350	281	190	178	1138	11	3735	306	58	596	71	12	67	47	41	5	15	1	139	122	1	7006	
Cheetosrule	HGW	1168	281	-12	368	272	184	168	1045	14	3356	301	76	614	67	9	58	31	39	6	22	1	127	119	2	7241	
Jimin		247	80	9	49	142	120	112	632	7	316	40	13	180	42	2	29	19	25	1	16	0	16	13	0	1461	
Mike Trout	HGW	394	94	-3	129	69	33	30	182	2	1902	109	22	216	12	1	12	7	9	0	2	0	54	37	1	2314	
Eashy	OD	1180	280	16	415	212	112	98	598	12	5132	362	73	610	29	1	18	12	22	2	11	1	169	127	2	6107	
gg!	HGW	914	243	-10	191	399	394	347	3406	43	473	161	53	542	104	46	116	76	95	13	48	5	39	28	3	6581	
NEB.	OD	779	200	14	285	186	105	102	464	3	3323	216	75	432	35	1	28	20	21	0	13	1	116	104	1	3997	
okthenXD	OD	863	200	14	150	425	398	355	2344	43	497	113	47	432	136	18	97	56	64	5	31	3	36	30	2	3997	
