player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Altiger		1462	360	9	357	551	507	459	4078	36	726	255	180	918	127	45	187	140	155	13	40	3	48	40	5	10967	
Blue Dream		143	40	-5	34	76	67	60	469	4	104	28	12	90	21	5	33	26	21	2	4	0	4	2	0	1108	
Death Pickle		1579	400	-16	604	310	182	174	1461	7	4702	537	116	1005	53	16	80	61	97	4	8	0	189	165	3	12421	
BigBird		1680	400	-4	550	284	170	158	1156	6	5147	479	136	1008	58	13	64	42	72	3	17	0	162	146	2	12016	
Vials		1295	400	-16	286	645	594	542	4400	41	506	190	118	1005	136	40	232	177	244	16	47	4	39	34	3	12421	
Mr.Gone		1570	400	-16	557	411	226	212	1604	13	4028	504	99	1005	69	19	91	71	76	6	24	1	173	134	3	12421	
Sundown	RKT	1394	359	-2	465	299	179	168	1575	10	4172	404	92	918	40	18	75	53	75	4	13	0	135	129	1	10732	
dywz		1285	370	-1	228	594	524	476	3945	46	794	179	91	927	152	44	196	145	192	24	43	3	32	31	5	11154	
yank		1374	344	21	421	289	181	162	1406	16	3618	368	110	889	36	11	85	64	85	11	14	1	121	124	1	11059	
YAC		289	80	5	53	122	115	103	930	10	179	35	21	198	23	8	60	42	49	3	16	1	7	6	0	2416	
ooo killem		1226	360	24	291	565	506	470	4381	33	626	212	121	916	118	53	236	170	193	12	33	2	44	37	3	11268	
bad		1419	400	47	337	566	511	458	4107	46	906	242	136	1008	124	41	183	143	221	24	26	1	59	52	4	11223	
Stojakovic		1644	400	47	299	622	584	503	5656	73	564	189	148	1008	119	75	226	166	156	21	56	8	39	35	1	11223	
Dalek		1472	334	15	503	311	222	205	1592	14	4012	434	98	853	59	13	111	87	87	10	16	0	164	144	5	10980	
Iblis		1408	320	46	549	276	133	125	832	4	5067	494	77	792	41	9	57	44	49	3	7	0	196	178	4	8628	
Crippy		1270	279	44	403	244	182	164	1432	17	3984	352	92	684	47	13	69	48	69	10	17	1	157	151	3	7656	
snowball	AC	132	36	1	53	38	18	17	115	1	427	45	9	90	2	1	9	6	11	0	1	0	20	16	0	1193	
Fronj		1220	360	-20	285	639	565	515	4028	42	746	215	100	898	151	35	251	189	207	16	46	2	35	34	6	11238	
SuperSans		1379	400	-34	467	411	224	212	1447	10	4226	408	97	1006	53	10	101	73	105	6	28	2	121	112	1	12643	
MiIky		1228	400	-34	245	797	717	674	5807	35	325	163	146	1006	169	55	292	214	260	17	65	2	33	32	1	12643	
Bal McCartny		1668	400	-34	597	343	183	173	1045	10	5103	562	117	1006	59	4	99	74	68	4	20	1	237	208	3	12643	
sIide	FBD	1332	287	30	541	255	114	110	775	4	3347	479	107	728	32	4	54	38	30	2	15	1	184	167	2	8868	
