player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Curry	RKT	1037	280	-51	333	273	186	172	1071	13	4486	287	71	630	60	11	50	31	46	3	23	1	127	121	1	6202	
Bal McCartny		1443	320	-67	585	259	125	115	614	9	6137	506	110	720	54	5	30	18	30	3	5	0	279	271	3	7083	
FLY	CCB	829	320	-84	220	531	429	405	2134	20	1233	165	74	720	162	14	95	63	89	8	51	3	58	51	2	7911	
Syniikal		503	120	7	189	26	7	7	45	0	2973	158	23	252	2	0	3	1	1	0	1	0	90	90	0	2196	
toaster.		1089	280	1	380	232	140	129	910	10	4738	329	65	630	43	7	30	20	27	1	6	0	122	120	5	6277	
CB13	VIL	1237	310	-6	360	384	321	276	1995	35	2371	290	77	702	90	15	71	33	76	8	36	5	109	105	2	7168	
sidewalk	SRP	238	100	-38	59	210	179	170	744	6	248	38	29	234	75	3	44	18	20	0	20	0	12	17	1	2195	
Crossover		952	310	-4	252	633	567	528	2886	35	576	185	79	693	206	18	129	81	73	6	36	1	41	37	1	7076	
refined		970	240	3	367	242	153	136	863	12	3269	315	73	558	55	6	40	23	29	4	12	2	131	122	3	6132	
Abe Lincoln		1545	321	8	572	303	227	199	1333	24	4088	463	126	720	76	9	70	41	43	7	19	2	192	186	2	8050	
King's Crown	FBD	453	121	-9	186	111	55	51	316	4	2007	163	23	252	25	5	17	9	14	1	9	1	86	82	1	2946	
badger		1413	320	64	293	530	515	450	3462	64	1000	212	102	720	167	32	142	96	102	16	47	4	58	53	1	7180	
Bamboozler	DNO	1228	320	64	348	286	204	186	1251	17	5102	306	73	720	66	10	55	33	60	5	18	3	123	123	3	7180	
boogie	VIL	914	241	10	320	278	207	191	1054	13	2667	274	71	558	76	7	57	34	54	4	20	1	113	105	0	6035	
DEAD NAN		895	251	12	143	460	438	386	2780	48	391	107	46	549	147	21	102	67	94	8	44	3	37	34	2	6246	
Nice Person		1353	320	64	476	251	142	130	958	11	5733	413	86	720	44	10	44	30	34	2	12	1	176	166	6	7180	
BigBird		1445	320	78	467	222	111	100	702	11	6622	413	83	720	32	7	34	20	34	3	9	1	221	210	4	7072	
GOOBR		1225	320	78	264	480	457	395	3257	55	1042	192	77	720	132	36	110	68	95	12	32	2	74	63	1	7072	
Eggo	RKT	1141	280	78	360	263	157	138	967	17	4329	269	97	630	46	9	40	21	48	6	7	0	125	111	1	6418	
Epiphany	TEF	1355	300	91	400	229	136	119	774	16	5062	316	117	684	42	4	32	19	33	6	16	2	146	141	3	6490	
Wanye		1196	320	84	312	499	477	411	2926	61	1192	230	80	720	158	24	129	82	92	18	62	8	81	73	1	7380	
Frothy		1347	320	84	503	239	111	100	697	11	5684	432	79	720	35	9	32	21	39	6	17	0	213	204	2	7380	
bright		1531	320	78	323	470	480	399	3722	73	889	209	119	720	130	49	111	71	86	14	31	3	49	44	4	7072	
WarriOrs		1499	320	84	322	544	537	451	4103	81	783	223	128	720	172	47	139	89	107	21	55	8	73	56	3	7380	
sIide	FBD	57	20	-13	24	32	9	9	43	0	318	17	4	36	4	0	2	1	1	0	3	0	7	7	0	582	
Djinni	PRE	1107	320	-1	231	479	441	390	2974	47	667	163	99	720	138	26	105	62	83	9	49	6	37	31	2	8398	
thenewguy.		1133	280	-42	353	354	271	239	1783	25	2536	289	80	612	88	20	85	41	38	6	28	3	120	107	1	7002	
Frozen	LBT	1146	320	15	306	530	459	416	2522	41	1395	203	101	720	182	22	115	80	78	8	42	3	66	65	4	7821	
Gasol		1038	320	-47	249	588	505	460	2874	37	765	177	109	720	148	19	134	72	116	9	64	2	42	41	4	7930	
waterwheel	CCB	1088	320	-47	334	335	204	193	1056	10	4633	275	76	720	75	7	64	39	51	4	21	1	146	128	1	7930	
GeT_RiGhT	DNO	1349	320	15	478	208	111	102	592	9	5679	403	85	720	36	2	30	19	23	2	16	1	215	192	5	7821	
Ty	LBT	1306	320	15	366	385	330	288	2228	38	2306	285	109	720	91	18	87	62	72	6	43	6	96	86	3	7821	
pulpo	SRP	653	231	-41	190	469	409	385	2316	23	490	129	64	540	137	15	119	64	84	8	47	2	46	50	3	6421	
BALLDON'TLIE	AC	1394	321	-2	446	328	260	233	1623	27	3423	343	131	720	84	12	55	36	43	7	26	3	162	148	3	7908	
Destar	CCB	830	280	-68	184	487	411	381	2220	27	759	129	57	630	146	17	94	58	55	1	50	6	32	23	1	6937	
Doris	RKT	1073	280	-44	362	231	125	121	901	4	4025	317	95	612	36	7	27	21	27	1	13	0	150	127	2	6786	
FURY.		776	241	8	181	475	448	408	2534	35	485	134	64	522	161	20	120	73	99	9	32	2	34	37	4	5857	
m	CDC	644	160	-19	263	95	49	48	332	1	2619	216	43	342	12	2	13	6	17	1	6	0	121	112	1	3774	
d0pe	DNO	609	200	-11	110	387	339	313	1833	23	355	80	39	432	121	12	76	44	49	4	28	0	22	20	3	4636	
ARMBRANCH	AC	1377	321	-2	555	245	124	115	621	8	5385	474	97	720	49	3	27	16	37	3	19	2	209	198	5	7908	
DYWZ		994	321	-2	257	522	457	420	2601	32	1021	186	58	720	153	19	127	77	106	11	44	2	54	51	3	7908	
#SelfySyntax	SRP	952	320	-17	199	544	481	442	2528	36	661	131	91	720	175	21	106	65	82	10	44	2	32	32	3	8136	
RacgiMan	DNO	465	140	-9	178	118	67	66	259	1	2282	139	27	288	31	1	20	8	11	0	9	1	69	57	1	3513	
okthen99		815	230	1	200	390	356	325	2278	28	872	154	59	522	124	19	101	67	73	8	33	3	42	36	4	5914	
Suchit	SRP	985	280	-12	255	468	403	367	2467	33	919	186	90	630	147	22	110	70	90	8	57	4	52	47	6	7045	
veezy		498	180	-27	128	294	244	226	1249	17	262	84	46	396	94	8	56	38	46	7	20	1	16	16	3	4513	
Mike Trout		496	118	11	181	101	51	46	280	5	2244	164	27	288	19	2	17	14	16	3	9	0	75	63	0	3089	
Arbybear		1180	320	-27	527	333	133	128	639	5	5016	455	74	720	52	4	36	21	27	1	12	1	222	211	4	8111	
aardvark	CCB	1008	240	2	392	211	111	105	640	6	3800	337	74	540	38	5	22	12	22	1	7	0	144	144	3	5622	
anduin	SRP	591	161	-30	215	180	103	97	514	5	2241	181	41	432	36	2	27	19	24	1	7	0	88	84	1	4889	
Ball OON		709	240	18	193	296	244	228	1219	14	1034	142	69	540	94	5	67	45	73	4	21	1	41	38	3	6112	
Matetricks		1147	280	67	206	406	410	348	2757	52	976	141	83	630	115	24	116	85	107	15	42	9	41	40	3	6221	
EIsa		750	280	-61	175	566	491	457	2425	32	310	128	58	630	179	15	114	66	77	5	52	1	31	23	2	6262	
beast mode	VIL	349	90	-7	84	125	101	89	498	10	634	65	26	225	31	2	15	6	21	4	10	0	30	28	2	2378	
Pnaoxt		426	130	-15	88	201	179	161	995	17	247	56	40	297	53	6	37	21	38	5	15	0	11	9	1	3612	
GLTPVet32		0	0	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	273	
glob.	CDC	258	90	-25	70	145	119	108	858	8	230	54	26	225	35	9	24	19	20	2	16	2	16	8	1	2626	
yiss	LBT	485	128	-14	163	116	58	56	309	2	2382	153	28	306	24	2	17	11	13	0	8	0	70	69	1	2739	
Juke of Yore	DNO	128	40	-16	42	34	21	21	109	0	565	34	11	90	6	0	5	4	6	0	3	0	14	16	2	881	
FUCKDACRC		254	80	-13	51	144	139	128	629	10	220	33	19	180	51	3	43	23	22	2	22	5	13	11	1	1898	
A-A-ron		818	200	-21	251	185	113	98	622	13	2646	207	60	468	35	4	36	27	23	1	12	2	96	87	1	5404	
Raspberry	FBD	186	40	6	68	42	31	24	124	5	546	65	10	90	11	0	10	7	9	0	7	2	31	28	1	962	
misaki		63	20	-8	21	13	5	5	79	0	389	21	1	36	1	2	3	2	0	0	3	0	5	6	1	453	
HOMIE*PHOBIC		88	40	-16	30	72	60	54	322	5	63	19	9	90	28	3	15	11	5	1	4	0	3	3	2	1209	
titanblue		100	60	-48	37	102	67	65	460	1	121	31	15	162	20	4	16	10	23	1	9	0	5	6	0	2116	
Taurus	LBT	206	40	-3	50	28	12	9	152	3	583	47	16	90	3	2	6	5	5	0	1	1	24	24	0	1007	
mis		324	80	-9	118	20	8	8	65	0	1438	106	21	180	3	1	3	2	1	0	1	0	44	42	0	1803	
blackberry		158	40	-3	26	56	48	44	329	4	119	14	11	90	16	3	14	6	10	1	4	0	1	1	0	848	
Kamikaze		136	60	-18	43	96	71	64	334	6	145	31	17	171	29	2	13	8	16	1	7	0	5	6	0	2045	
OBAMA.		272	80	-10	104	56	40	37	161	3	1123	86	19	198	14	0	9	4	9	1	2	0	38	29	0	2051	
Some Paul		45	20	-11	12	42	38	36	181	1	59	9	4	54	12	0	11	7	8	1	1	0	3	2	0	499	
TheBob18	VIL	114	40	-40	59	46	29	29	80	0	462	48	12	108	18	0	6	3	4	0	2	0	15	9	2	1360	
kutrebar	SRP	23	10	0	5	18	13	13	92	0	29	4	3	27	5	1	4	2	1	0	0	0	0	1	0	254	
CostanzaHP		160	40	5	73	41	22	21	97	1	559	70	14	108	12	0	4	4	5	0	2	0	36	32	0	1065	
