player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
danisk		694	260	-28	201	439	379	351	2737	21	241	144	68	647	104	26	106	68	95	4	51	1	20	14	2	8070	
Fatal		1021	270	-31	379	297	187	170	1033	12	3386	319	76	665	67	4	57	37	41	3	21	2	131	113	3	8165	
Cosine180		1123	260	7	406	225	154	135	992	17	3362	353	88	630	52	6	66	42	54	7	24	2	124	115	2	7296	
protag		1022	279	1	189	564	535	476	3413	50	401	125	81	684	147	30	166	108	142	13	53	3	29	22	3	7748	
#Frozen		709	240	-28	205	438	349	321	1759	25	523	132	83	593	133	13	102	73	76	8	28	1	27	20	3	7131	
Abe Lincoln		1295	280	1	570	246	144	135	867	7	3541	474	116	684	42	7	59	40	41	2	21	2	202	198	2	7748	
CB13	VIL	1040	238	-22	477	196	108	94	668	14	2906	403	71	611	35	3	37	27	26	5	17	4	136	125	4	7645	
swerve		670	240	12	158	402	364	335	2223	25	624	100	65	576	105	14	126	81	106	10	28	1	32	31	0	6387	
Mufro		176	72	-8	37	119	107	103	714	4	156	29	17	162	35	7	37	29	38	1	7	0	7	7	1	2525	
q42		188	40	-9	83	41	22	21	128	1	441	76	15	90	9	0	7	5	7	1	3	0	39	32	1	1192	
aardvark	CCB	815	227	4	345	198	116	108	622	5	3320	306	56	594	36	2	41	28	29	1	15	3	130	130	1	6052	
Fronj		777	240	4	179	466	421	382	2385	36	498	116	88	594	123	14	127	80	98	12	37	3	38	34	1	6052	
toasty.		1118	280	9	234	475	464	406	3189	55	580	167	73	684	113	21	146	84	118	20	54	8	49	36	2	7021	
Arbybear		1000	240	20	413	252	138	126	627	10	3855	353	62	593	50	4	44	30	42	4	14	0	147	145	2	5620	
C Bivvey		1063	270	5	377	265	153	141	813	11	4381	315	83	656	50	8	51	35	39	4	14	0	160	145	1	6801	
intercest		1185	280	7	286	506	472	412	2880	51	511	180	120	683	134	18	140	89	105	15	42	5	43	32	4	7023	
iAaronK		1266	280	9	523	244	140	129	636	11	4147	466	102	684	53	0	46	29	42	4	17	0	214	202	3	7021	
Destar	CCB	818	280	7	213	497	438	403	2707	31	634	165	48	683	131	15	134	80	101	11	48	1	46	38	4	7023	
Juke of Yore	DNO	152	52	-22	59	59	36	34	92	1	666	50	16	135	18	0	10	6	5	0	5	0	19	20	1	1420	
xXw3Edl0rdXx		1240	277	39	478	216	97	85	620	11	5592	418	75	684	27	3	36	26	36	7	4	0	219	191	2	5937	
Bal McCartny		1055	270	-81	466	222	109	103	492	4	4128	423	90	657	42	2	33	20	27	1	22	1	220	207	2	7256	
LEBRON*JAMES		1066	280	39	197	580	527	473	3071	48	553	116	102	684	178	20	144	95	111	16	43	3	19	27	3	5937	
Syniikal		1228	280	39	474	55	17	17	111	0	5579	397	91	684	6	1	7	5	5	0	2	0	195	189	0	5937	
Hulzy		757	280	-86	212	583	518	487	2693	26	428	151	93	684	200	19	138	79	94	7	51	4	32	30	2	7671	
okthen		927	240	47	157	422	389	331	2694	56	510	108	71	576	97	19	106	75	99	16	40	6	39	33	2	4876	
Ty	LBT	126	50	-20	44	66	56	55	248	1	410	33	13	117	19	2	13	7	9	0	7	0	9	12	0	1320	
Cooostanza		0	0	4	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	132	
veezy		174	70	-31	65	132	112	105	442	6	204	42	22	153	45	1	34	20	23	1	20	1	14	12	1	1896	
BALLDON'TLIE	AC	993	280	32	215	506	457	404	2661	48	692	156	87	684	128	10	143	97	141	21	59	6	47	44	3	7249	
EASHY		1138	260	27	443	190	124	113	881	10	4505	360	83	648	43	11	51	34	36	4	12	0	140	134	0	6602	
SIDE		1244	280	32	443	231	116	106	717	9	4906	373	94	684	29	6	49	40	46	6	13	0	154	151	2	7249	
Dalek		707	210	-65	284	270	188	178	967	8	2424	238	47	531	70	5	56	39	51	4	23	0	92	95	3	7019	
MILKY		904	277	32	179	582	553	504	3826	45	287	114	95	684	164	41	197	117	148	19	49	3	25	16	2	7249	
thenewguy.		692	200	-22	173	387	355	324	2033	28	474	125	61	486	128	15	108	70	77	10	29	2	24	17	2	5455	
sIide	FBD	959	237	-66	422	292	163	157	672	6	2793	353	118	603	78	2	49	35	36	3	25	0	129	112	5	7838	
dywz		670	210	-41	162	346	315	292	2309	17	528	106	58	513	86	27	115	78	83	5	48	3	22	21	3	6495	
DANK SNIPER		91	23	3	29	14	10	9	45	1	262	29	2	81	2	0	4	3	4	1	1	0	16	13	0	1160	
Fuzzy		82	29	-9	20	21	14	14	69	0	330	16	8	72	7	1	6	5	4	0	1	0	7	7	0	914	
BigBird		1100	280	-7	441	256	130	118	886	8	4261	367	88	684	40	10	45	32	50	5	13	0	145	129	4	7720	
yank		937	240	-18	378	231	128	117	771	11	3449	309	78	576	40	10	40	25	35	2	21	2	151	141	2	6501	
GOOBR		931	280	-7	260	481	459	412	2601	41	534	193	50	684	144	14	138	87	99	15	55	5	37	43	4	7720	
bright		1040	280	26	234	485	451	401	3579	43	524	173	91	684	121	47	133	89	108	11	56	9	56	45	3	7406	
Apopalypse		950	270	27	175	437	407	353	2557	51	661	122	82	666	120	15	147	102	125	20	33	3	33	29	0	7124	
Iblis		1243	280	26	589	237	113	108	625	4	4471	531	73	684	40	5	33	23	34	1	16	0	228	213	0	7406	
Genesis		1138	280	26	396	231	141	125	707	11	4253	322	96	684	49	3	45	28	39	5	23	2	151	129	2	7406	
Spjork		872	280	-7	212	517	450	406	2634	39	581	157	78	684	152	21	147	93	100	10	43	4	39	28	1	7720	
Ball God		1112	280	34	233	506	495	433	3544	56	643	150	90	684	135	29	148	103	120	22	45	4	34	31	1	7550	
eee		528	120	31	155	105	73	63	615	9	1420	138	35	270	13	8	31	27	33	4	5	1	53	53	1	3640	
YAC		1062	280	34	261	370	344	304	2307	35	1474	216	76	684	94	14	115	84	120	17	33	3	63	61	4	7550	
Neon		1251	280	34	482	245	155	143	1052	9	4083	406	93	684	48	11	58	42	48	4	22	2	183	167	2	7550	
swerve?		1109	240	55	365	195	135	120	1094	13	3310	297	90	594	31	11	52	41	43	4	9	0	133	119	0	6837	
np		669	180	18	217	157	99	95	654	3	2575	186	67	450	29	7	37	28	37	2	8	0	66	59	1	4989	
Mr. Hat		1233	280	58	287	467	467	400	3881	60	751	219	95	684	104	45	154	104	115	23	39	3	74	54	1	7748	
young savage		696	200	9	241	285	209	195	1286	12	1691	205	55	486	61	10	63	45	57	3	16	1	69	60	3	5498	
Prizm	TEF	114	40	-13	39	53	47	42	227	3	334	35	6	90	19	1	12	8	13	1	4	0	14	12	2	1403	
Gman8181		339	150	-58	101	299	252	235	1441	13	178	69	39	369	84	7	69	48	67	3	36	4	8	8	1	4997	
Stann		350	80	18	112	64	43	39	214	4	1366	105	15	216	14	1	15	11	17	2	3	1	49	39	0	2010	
FLY	CCB	619	190	-48	242	210	133	128	604	5	2049	192	50	477	48	2	34	22	38	2	20	0	76	71	2	5319	
Some Paul		73	40	-26	18	66	60	59	339	1	71	14	14	108	23	5	20	12	16	0	6	0	1	1	0	1488	
caramelbaays		627	160	58	161	259	242	205	1714	34	545	118	52	396	65	14	81	54	105	18	28	4	41	33	2	4348	
ZenWhisper		37	10	-5	21	14	4	4	26	0	58	21	4	27	0	0	1	0	1	0	0	0	4	3	0	415	
DEAD NAN		80	40	-8	12	75	68	63	348	4	81	11	5	108	17	0	20	11	13	1	6	1	2	1	0	1061	
Belle		106	39	1	36	79	63	61	409	1	173	21	10	99	22	5	20	13	19	1	5	0	8	8	0	1009	
RemoSlice	VIL	100	40	-11	23	85	79	74	464	4	49	21	5	108	20	1	24	14	20	2	6	1	4	5	0	1296	
EGGO	RKT	161	40	13	53	58	29	27	162	2	618	30	19	90	8	1	10	4	12	0	2	0	12	14	0	985	
Bamboozler	DNO	167	40	11	58	41	28	27	206	1	410	50	16	108	7	2	12	8	11	1	1	0	14	11	0	1219	
alchemist		135	40	-14	49	35	22	21	147	1	457	49	7	108	5	1	8	5	8	0	4	0	15	17	0	1150	
TagProfessor		48	21	-7	10	22	18	16	153	2	52	10	3	81	2	1	7	4	6	1	3	0	1	2	0	997	
Adam_Bomb		61	24	-18	34	22	11	10	40	0	294	28	8	72	3	0	1	1	2	0	1	0	11	10	0	982	
fxu		83	40	-13	19	73	67	63	366	3	57	12	9	108	23	3	22	12	12	1	7	0	1	1	0	1243	
Some Ball 8		26	10	-9	9	11	7	7	14	0	124	8	3	27	3	0	0	0	0	0	2	0	2	2	0	322	
Frothy		171	55	-36	86	62	30	29	147	1	591	78	15	144	11	1	13	10	6	0	3	0	29	30	1	1921	
Jubjubs		85	23	-3	32	32	17	16	71	1	318	24	4	54	3	0	11	6	8	1	2	0	12	10	1	810	
Weed		31	10	-1	5	18	15	13	82	2	16	4	0	18	5	1	3	3	4	0	2	0	0	1	0	282	
Curry	RKT	70	20	1	23	20	18	17	95	1	227	17	8	54	6	1	6	3	2	1	3	0	7	7	0	519	
BAllstar		17	10	-7	3	23	21	21	116	0	9	1	1	18	7	0	4	2	3	0	3	0	0	0	0	273	
Catalyst		32	10	-3	17	9	6	6	44	0	147	14	1	18	4	1	1	0	0	0	0	0	5	4	0	231	
P K Subball		53	20	-4	5	43	37	34	250	3	18	5	2	54	12	4	10	7	9	1	7	0	1	1	0	573	
Knox		42	10	2	16	9	4	4	17	0	192	16	0	27	2	0	0	0	2	0	0	0	9	8	0	222	
Beef Jukie		129	40	2	32	73	59	52	322	6	73	25	10	90	24	2	16	8	12	2	8	0	11	11	1	1057	
laserpig		63	30	-11	17	72	58	55	207	3	54	9	3	72	32	0	12	5	13	1	8	1	2	2	0	882	
Tim Tebow		25	10	4	5	27	23	22	212	1	13	4	0	18	7	3	9	5	8	0	0	0	0	0	0	204	
Lidstrom		63	20	3	29	21	6	6	38	0	255	26	3	54	1	0	3	3	2	0	0	0	8	9	0	456	
badger		164	40	3	59	49	29	27	122	2	611	48	16	90	13	0	5	4	5	1	1	0	24	23	0	911	
